Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma/LOD,Ag CPS/uA,As,As 2-Sigma/LOD,As CPS/uA,Au,Au 2-Sigma/LOD,Au CPS/uA,Bal,Bal 2-Sigma/LOD,Bi,Bi 2-Sigma/LOD,Bi CPS/uA,Cd,Cd 2-Sigma/LOD,Cd CPS/uA,Co,Co 2-Sigma/LOD,Co CPS/uA,Cr,Cr 2-Sigma/LOD,Cr CPS/uA,Cu,Cu 2-Sigma/LOD,Cu CPS/uA,Fe,Fe 2-Sigma/LOD,Fe CPS/uA,Hf,Hf 2-Sigma/LOD,Hf CPS/uA,Hg,Hg 2-Sigma/LOD,Hg CPS/uA,Mn,Mn 2-Sigma/LOD,Mn CPS/uA,Mo,Mo 2-Sigma/LOD,Mo CPS/uA,Nb,Nb 2-Sigma/LOD,Nb CPS/uA,Ni,Ni 2-Sigma/LOD,Ni CPS/uA,Pb,Pb 2-Sigma/LOD,Pb CPS/uA,Pd,Pd 2-Sigma/LOD,Pd CPS/uA,Rb,Rb 2-Sigma/LOD,Rb CPS/uA,Re,Re 2-Sigma/LOD,Re CPS/uA,Sb,Sb 2-Sigma/LOD,Sb CPS/uA,Se,Se 2-Sigma/LOD,Se CPS/uA,Sn,Sn 2-Sigma/LOD,Sn CPS/uA,Sr,Sr 2-Sigma/LOD,Sr CPS/uA,Ta,Ta 2-Sigma/LOD,Ta CPS/uA,Th,Th 2-Sigma/LOD,Th CPS/uA,Ti,Ti 2-Sigma/LOD,Ti CPS/uA,U,U 2-Sigma/LOD,U CPS/uA,V,V 2-Sigma/LOD,V CPS/uA,W,W 2-Sigma/LOD,W CPS/uA,Y,Y 2-Sigma/LOD,Y CPS/uA,Zn,Zn 2-Sigma/LOD,Zn CPS/uA,Zr,Zr 2-Sigma/LOD,Zr CPS/uA,Ba,Ba 2-Sigma/LOD,Ba CPS/uA,Ca,Ca 2-Sigma/LOD,Ca CPS/uA,Cs,Cs 2-Sigma/LOD,Cs CPS/uA,K,K 2-Sigma/LOD,K CPS/uA,S,S 2-Sigma/LOD,S CPS/uA,Sc,Sc 2-Sigma/LOD,Sc CPS/uA,Te,Te 2-Sigma/LOD,Te CPS/uA,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
1484,Mining,30.00,28.86,,,,"Mon May 4, 2026 - 08:42:16",User,1.5,ppm,,,,,,Mining,505.9961 , 429.8358,12.1169,21.3326 , 10.8007,0.2479,<LOD,29.8354,0.0690,120137.4844 , 15226.2686,<LOD,13.4373,0.1065,<LOD,32.7062,4.9037,<LOD,471.3312,233.9279,8721.7363 , 106.0944,22.6107,1614.4999 , 61.2602,1.5692,860391.6875 , 649.9282,1583.8325,<LOD,0.0000,0.0000,<LOD,30.8470,0.1384,2720.1145 , 120.4355,10.9054,4185.8511 , 24.8705,50.9432,<LOD,5.0407,0.7947,1509.3636 , 149.5733,0.8780,<LOD,18.5698,0.4627,<LOD,34.4883,5.9576,7.0288 , 2.2979,0.0636,<LOD,0.0000,0.0000,<LOD,58.1753,5.7734,<LOD,7.1786,0.1199,116.5847 , 29.0375,6.7348,<LOD,2.5053,0.1538,<LOD,0.0000,0.0000,<LOD,18.7383,-1.1620,<LOD,390.8299,1.4941,<LOD,2.9008,0.0106,68.2838 , 50.9984,1.5661,<LOD,71.9305,0.1657,<LOD,3.9954,0.2535,<LOD,25.2928,0.2118,<LOD,3.4934,0.4480,,,,,,,,,,,,,,,,,,,,,4,448.299988,39.000751,-122.663025,10.000000,529179.250000,4316914.000000,
1485,Soils,96.10,35.89,30.10,30.11,,"Mon May 4, 2026 - 11:54:37",User,1.5,ppm,,,,,,Soils,<LOD,1.2917,0.9058,<LOD,2.0391,0.7171,<LOD,4.1542,0.3479,<LOD,0.0000,,,,<LOD,2.5300,1.8562,<LOD,40.7734,9.9150,86.0380 , 3.7137,3.7397,32.8634 , 2.7816,0.6700,24429.6582 , 71.5368,61.5356,,,,106.5843 , 5.1501,1.9649,<LOD,18.4990,0.5811,<LOD,1.2701,7.5144,,,,<LOD,6.5586,0.3980,24.8165 , 1.1227,0.6511,<LOD,1.1613,0.6515,74.9333 , 1.3443,5.5087,,,,<LOD,4.6169,5.3880,<LOD,0.4005,0.2946,<LOD,3.2243,4.0258,32.6969 , 0.6710,3.4843,,,,7.0862 , 1.1407,0.6318,2892.6643 , 22.5751,16.9245,3.6346 , 1.4876,0.9333,52.1574 , 6.0439,3.3041,<LOD,0.0000,0.2589,,,,9.5463 , 1.2479,0.5466,120.4584 , 1.7332,15.3794,203.5182 , 109.0054,21.1117,478.7458 , 39.7122,1.4208,<LOD,12.4363,27.9492,11848.4688 , 102.7097,9.2604,588.7842 , 69.1534,0.2254,<LOD,6.8405,0.4471,<LOD,6.1634,8.7966,7,432.799988,39.000740,-122.662918,10.000000,529188.500000,4316912.500000,
1486,Soils,122.47,60.30,32.15,30.02,,"Mon May 4, 2026 - 11:57:59",User,1.5,ppm,,,,,,Soils,<LOD,1.2808,0.8907,3.2506 , 0.7374,0.7645,<LOD,3.1371,0.3493,<LOD,0.0000,,,,<LOD,3.2942,1.8854,<LOD,33.4689,10.1154,85.9804 , 3.8061,3.7350,32.5277 , 2.0880,0.6661,24930.7227 , 54.2510,62.7703,,,,107.9034 , 3.8935,1.9801,<LOD,14.2307,0.6094,<LOD,0.8598,7.4843,,,,<LOD,4.9273,0.3926,24.1348 , 0.8400,0.6420,<LOD,1.1566,0.6474,75.4051 , 1.0144,5.5259,,,,<LOD,5.5647,5.4247,<LOD,0.3081,0.3099,<LOD,3.4584,4.0972,32.5515 , 0.5043,3.4664,,,,7.7364 , 0.8617,0.6420,3045.2932 , 23.4342,17.7082,3.7167 , 1.1231,0.9369,55.2139 , 6.3086,3.4359,<LOD,0.0000,0.2440,,,,10.3036 , 0.9454,0.5534,121.9334 , 1.3109,15.4950,202.2142 , 108.3071,21.0200,466.4059 , 41.5496,1.4456,<LOD,12.4214,27.9289,12848.3486 , 109.0540,10.0399,649.0251 , 72.5430,0.2377,<LOD,7.1656,0.4643,<LOD,6.1796,8.9620,9,406.000000,39.000702,-122.662788,10.000000,529199.500000,4316908.500000,
1487,Soils,122.36,60.39,31.83,30.14,,"Mon May 4, 2026 - 12:01:25",User,1.5,ppm,,,,,,Soils,<LOD,1.2790,0.8986,3.0622 , 0.7414,0.7702,<LOD,3.1178,0.3449,<LOD,0.0000,,,,<LOD,2.0752,1.8184,<LOD,28.0734,10.1108,85.1256 , 3.9128,3.7612,36.4709 , 2.1329,0.6953,25066.5879 , 54.3666,63.1691,,,,110.6468 , 3.9337,2.0215,<LOD,14.0470,0.5939,1.1742 , 0.4582,7.5361,,,,<LOD,4.8946,0.3852,24.9651 , 0.8471,0.6531,<LOD,1.1842,0.6904,75.5013 , 1.0093,5.4911,,,,<LOD,5.4051,5.3729,<LOD,0.3002,0.2915,<LOD,3.1985,4.0144,32.3743 , 0.5038,3.4578,,,,7.9386 , 0.8572,0.6407,3026.6992 , 24.3015,17.7911,1.3646 , 1.0963,0.8888,54.4276 , 6.4895,3.4621,<LOD,0.0000,0.2353,,,,7.5968 , 0.9254,0.5300,122.1248 , 1.3120,15.5170,216.5068 , 115.9607,21.2512,458.4863 , 42.5471,1.4488,<LOD,12.3300,27.9762,12808.4072 , 111.4505,10.0189,610.0753 , 73.2746,0.2316,<LOD,7.3824,0.4755,<LOD,6.1277,8.8963,8,428.200012,39.000736,-122.662964,10.000000,529184.187500,4316912.500000,
1488,Soils,93.93,33.59,30.10,30.24,,"Mon May 4, 2026 - 12:16:22",User,1.5,ppm,,,,,,Soils,<LOD,188.5499,0.7725,<LOD,74.8703,0.1567,403.1084 , 158.8388,0.0869,<LOD,0.0000,,,,<LOD,386.9246,1.5870,2942.6697 , 852.1336,3.0032,4761.2944 , 229.6041,3.5675,2357.8809 , 169.5053,0.2285,420722.1250 , 1995.9962,17.9969,,,,2480.8870 , 247.3658,0.3683,9800.9209 , 687.3122,0.5693,7945.8477 , 81.7742,6.4931,,,,2536.4966 , 291.3281,0.1952,524.3723 , 55.6200,0.1120,<LOD,169.1827,0.5702,2491.3989 , 86.5246,1.5207,,,,<LOD,611.1271,4.5796,162.9493 , 16.9239,0.0945,<LOD,501.4525,3.5276,1208.4427 , 42.2017,0.8771,,,,255.0430 , 73.6484,0.1673,117456.2344 , 1250.6812,16.7817,385.3617 , 83.4266,0.1978,2584.1270 , 309.0567,3.4080,<LOD,0.0000,0.1005,,,,415.9491 , 71.6002,0.1580,4371.3208 , 121.7442,3.9115,55225.1562 , 1936.9137,21.7648,34694.2070 , 1861.7449,2.2839,<LOD,2900.6517,24.7027,320875.6562 , 2164.4590,13.7334,5398.5024 , 978.7406,0.2101,<LOD,425.8472,0.6523,<LOD,969.1794,7.5712,10,427.700012,39.000755,-122.662956,10.000000,529185.062500,4316914.500000,
1489,Soils,92.16,31.93,30.14,30.09,,"Mon May 4, 2026 - 12:19:57",User,1.5,ppm,,,,,,Soils,<LOD,1.4469,0.7688,<LOD,2.3254,0.5210,<LOD,4.6389,0.2558,<LOD,0.0000,,,,<LOD,2.6952,1.5710,<LOD,66.0315,11.6000,97.5289 , 4.4719,3.6537,33.3521 , 3.3070,0.5652,33285.3984 , 94.3899,72.3577,,,,82.2240 , 5.5071,1.3307,107.8169 , 17.4374,0.7608,<LOD,1.0944,6.3014,,,,<LOD,8.1667,0.3321,16.0754 , 1.2135,0.4467,<LOD,1.3502,0.6021,107.2140 , 1.8473,6.3101,,,,<LOD,4.4559,4.5331,<LOD,0.4795,0.2563,<LOD,6.1472,3.6080,43.2025 , 0.8843,3.5571,,,,9.9700 , 1.4276,0.6112,4816.9644 , 27.8870,16.6635,<LOD,4.0214,0.7360,151.9891 , 7.5107,3.4292,<LOD,0.0000,0.2152,,,,8.3772 , 1.4651,0.4489,150.4946 , 2.2709,15.4614,527.2820 , 11.9485,21.8089,1287.8608 , 59.9348,2.2622,12.2784 , 9.4300,24.7814,20576.3301 , 147.3214,13.9145,632.3950 , 76.8889,0.1976,<LOD,10.2121,0.6273,<LOD,6.9804,7.5860,8,427.500000,39.000751,-122.662964,10.000000,529184.312500,4316914.000000,
1490,Soils,90.55,30.26,30.08,30.21,,"Mon May 4, 2026 - 12:23:11",User,1.5,ppm,,,,,,Soils,<LOD,1.4719,0.7708,1.9334 , 1.0595,0.5636,<LOD,4.5196,0.2604,<LOD,0.0000,,,,<LOD,2.3878,1.5512,44.8936 , 32.3712,11.7439,95.3870 , 4.3168,3.6116,32.1565 , 3.1735,0.5575,33463.1992 , 91.2683,72.7355,,,,80.9428 , 5.2884,1.3143,106.4092 , 16.8838,0.7648,<LOD,1.0590,6.3098,,,,<LOD,7.9774,0.3417,18.9440 , 1.2173,0.4819,<LOD,1.4262,0.6081,104.9375 , 1.7752,6.2129,,,,<LOD,4.5302,4.5292,<LOD,0.4633,0.2554,<LOD,5.0979,3.5869,44.1255 , 0.8610,3.6117,,,,9.9463 , 1.3800,0.6112,4821.6196 , 26.9861,16.6416,3.9854 , 1.7018,0.7751,157.9905 , 7.3106,3.4544,<LOD,0.0000,0.2140,,,,10.7943 , 1.4439,0.4673,150.0077 , 2.1911,15.4152,519.5833 , 12.1507,21.7808,1288.1017 , 58.4803,2.2936,<LOD,19.1677,24.7300,20503.1250 , 142.8896,13.8833,774.8267 , 76.9732,0.2103,<LOD,9.8711,0.6094,<LOD,7.1238,7.7043,9,427.399994,39.000751,-122.662971,10.000000,529183.875000,4316914.000000,
1491,Soils,90.27,30.05,30.14,30.08,,"Mon May 4, 2026 - 12:26:51",User,1.5,ppm,,,,,,Soils,<LOD,1.6002,0.7185,17.8395 , 1.1975,0.7109,<LOD,4.6781,0.2254,<LOD,0.0000,,,,<LOD,2.6552,1.5190,88.4326 , 40.9248,17.3505,74.4049 , 4.7091,3.1228,49.6329 , 3.7107,0.6171,51252.2383 , 110.4208,107.8779,,,,56.7825 , 4.9368,0.9196,82.7186 , 17.3592,0.7522,<LOD,1.0414,4.8758,,,,<LOD,10.3599,0.4519,7.2579 , 1.0721,0.2979,<LOD,1.4911,0.5624,43.6419 , 1.3183,2.5662,,,,36.0325 , 3.5421,5.3534,<LOD,0.4792,0.2195,<LOD,4.1462,3.4489,80.2655 , 1.1688,5.3247,,,,5.8244 , 1.2602,0.3735,2226.0039 , 23.0354,7.6007,4.4392 , 1.6844,0.6102,81.8762 , 6.3148,1.7845,<LOD,0.0000,0.2039,,,,28.2582 , 1.7456,0.5528,69.8875 , 1.7851,8.0267,399.5261 , 13.3048,19.2506,1119.8032 , 54.4823,1.7161,16.0792 , 10.7692,24.9278,6927.3467 , 105.6411,4.6735,8656.9414 , 191.6607,0.8777,<LOD,9.9257,0.5981,<LOD,7.9351,7.4877,8,423.500000,39.000713,-122.663010,10.000000,529180.125000,4316909.500000,
1492,Soils,92.16,32.04,30.06,30.06,,"Mon May 4, 2026 - 12:29:24",User,1.5,ppm,,,,,,Soils,<LOD,1.5740,0.7336,19.9895 , 1.2341,0.7572,<LOD,4.4417,0.2004,<LOD,0.0000,,,,<LOD,2.5659,1.4828,<LOD,98.5227,17.3885,76.5422 , 4.4727,3.1144,51.7586 , 3.7588,0.6287,51690.2891 , 111.5402,108.9976,,,,61.6066 , 5.2063,0.9528,82.1292 , 17.4367,0.7546,<LOD,1.0238,4.6644,,,,<LOD,10.3774,0.4429,7.5606 , 1.0844,0.3026,<LOD,1.4475,0.5574,42.5803 , 1.2984,2.4767,,,,36.8022 , 3.4682,5.4089,<LOD,0.4632,0.2030,<LOD,4.0424,3.4429,82.9082 , 1.1914,5.4872,,,,6.3794 , 1.2894,0.3885,2297.0039 , 21.8463,7.7598,<LOD,3.9848,0.5722,92.4623 , 6.1029,1.8493,<LOD,8.1943,0.2259,,,,29.5812 , 1.7768,0.5597,70.2553 , 1.7998,8.0876,382.0453 , 12.9804,19.1589,1245.2747 , 53.5586,1.8433,<LOD,22.8333,24.9456,7195.3618 , 102.4792,4.8650,9753.8604 , 191.3726,0.9711,<LOD,10.8650,0.6370,<LOD,7.7639,7.5578,9,427.899994,39.000736,-122.662971,10.000000,529183.312500,4316912.500000,
1493,Soils,92.21,32.03,30.04,30.14,,"Mon May 4, 2026 - 12:33:00",User,1.5,ppm,,,,,,Soils,<LOD,1.3595,0.8705,<LOD,1.2352,0.3752,<LOD,3.9167,0.2219,<LOD,0.0000,,,,<LOD,2.1977,1.7315,<LOD,53.4605,6.3835,38.3930 , 3.0302,2.2870,8.9493 , 2.7075,0.4483,17084.4941 , 70.3583,38.7211,,,,44.7392 , 4.3078,0.9124,128.6106 , 17.1247,0.7684,<LOD,0.9935,6.4809,,,,<LOD,7.3255,0.3847,6.8242 , 0.9513,0.3337,<LOD,1.2719,0.6846,70.7064 , 1.4558,4.7499,,,,<LOD,4.2430,5.3583,<LOD,0.4233,0.2435,<LOD,3.4738,4.0951,31.5586 , 0.7389,3.0467,,,,5.7097 , 1.2142,0.5106,2945.2539 , 18.3533,10.1974,<LOD,2.2528,0.6266,77.3400 , 4.9291,2.0304,<LOD,7.0033,0.2305,,,,23.2397 , 1.5433,0.5858,135.0262 , 2.0491,15.5746,378.6175 , 11.0587,22.9259,824.5113 , 39.1715,1.4697,<LOD,17.7859,28.9912,8944.2510 , 88.7632,6.2064,453.8564 , 56.5898,0.1362,<LOD,6.6493,0.4019,<LOD,6.6527,9.0694,7,428.100006,39.000732,-122.662971,10.000000,529183.750000,4316912.000000,
